Year,Make,Model,Condition,Price,ConsumerRating,ConsumerReviews,SellerType,SellerRating,SellerReviews,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2019,Toyota,Sienna SE,Used,39998,4.6,45,Dealer,3.3,3,92562,Great,4.7,4.6,4.6,4.4,4.6,4.7,Red,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDXZ3DC2KS015402,22998646,29403
2018,Ford,F-150 Lariat,Used,49985,4.8,817,Dealer,4.8,131,93292,Good,4.9,4.8,4.8,4.6,4.8,4.7,Shadow Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1EG2JFD44217,22418A,32929
2017,RAM,1500 Laramie,Used,41860,4.7,495,Dealer,4.6,249,93637,Good,4.8,4.7,4.8,4.6,4.8,4.7,Granite Crystal Clearcoat Metallic,Four-wheel Drive,15,21,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RR7VT5HS842283,NG277871G,23173
2021,Honda,Accord Sport SE,Used,28500,5,36,Dealer,4.6,284,89104,NA,4.9,5,4.9,5,5,5,Gray,Front-wheel Drive,29,35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F49MA038035,54237,10598
2020,Lexus,RX 350,Used,49000,4.8,76,Dealer,4.8,4755,89011,Good,4.9,4.8,4.8,4.7,4.8,4.9,Eminent White Pearl,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2AZMAA8LC156270,HDT4181A,28137
2012,Toyota,4Runner SR5,Used,23541,4.7,34,Dealer,4.4,1071,94544,Fair,4.7,4.6,4.4,4.6,4.9,4.9,Black,Rear-wheel Drive,17,23,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU5JR3C5043790,C5043790,105469
2017,Honda,HR-V LX,Used,20995,4.6,200,Dealer,4.4,2695,94611,Great,4.6,4.4,4.4,4.5,4.7,4.8,Modern Steel Metallic,Front-wheel Drive,28,34,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU5H32HG703897,T1480,10458
2014,Mercedes-Benz,E-Class E 350,Used,18985,4.8,176,Dealer,4.4,2695,94611,Great,4.9,4.8,4.8,4.6,4.9,4.8,Lunar Blue Metallic,Rear-wheel Drive,21,30,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDHF5KB3EA778099,224922A,58157
2021,Honda,Pilot Touring 8-Passenger,Used,44299,4.8,63,Dealer,4.9,237,85323,Good,4.9,4.7,4.8,4.7,4.7,4.8,Platinum White Pearl,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H90MB052856,YMB052856,14445
2020,Dodge,Charger Scat Pack,Dodge Certified,46773,4.8,56,Dealer,4.3,1366,85015,Good,4.9,4.8,4.9,4.7,4.9,4.9,Triple Nickel Clearcoat,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ8LH157532,CBY705,25642
2017,Lexus,RC 350 Base,Used,42734,4.8,14,Dealer,4.8,1405,85014,Great,4.6,4.9,4.7,4.6,5,4.9,Infrared,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC2H5017212,X220879A,10236
2013,Lexus,GS 350 Base,Used,16990,4.7,81,Dealer,5,3,85040,Great,4.8,4.8,4.7,4.5,4.7,4.9,Gray,Rear-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,JTHBE1BL3D5024808,24808,48605
2017,Lexus,RX 350 RX 350,Used,36450,4.7,261,Dealer,4.9,200,85040,Good,4.8,4.7,4.6,4.5,4.7,4.8,Nightfall Mica,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2ZZMCA8HC086311,86311,47729
2020,Dodge,Charger Scat Pack,Dodge Certified,47500,4.8,56,Dealer,4.7,1973,85284,Good,4.9,4.8,4.9,4.7,4.9,4.9,White Knuckle Clearcoat,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ5LH162364,NK11114B,31538
2020,Dodge,Charger Scat Pack,Used,41000,4.8,56,Dealer,4.5,92,85233,NA,4.9,4.8,4.9,4.7,4.9,4.9,Octane Red Pearlcoat,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ4LH149735,54546,18717
2017,Lexus,RC 350 Base,Used,41493,4.8,14,Dealer,4.6,893,85286,Fair,4.6,4.9,4.7,4.6,5,4.9,Silver Lining Metallic,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC9H5016381,H5016381,34102
2018,Ford,Explorer XLT,Used,32995,4.8,265,Dealer,5,2,84663,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D89JGB20589,P2214,61294
2021,Subaru,Crosstrek Premium,Used,25500,4.8,78,Dealer,4.4,121,84042,NA,4.9,4.8,4.8,4.8,4.8,4.8,Cool-Gray Khaki,All-wheel Drive,28,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC0M8340692,53341,11508
2018,Ford,Explorer XLT,Used,33341,4.8,265,Dealer,3.9,338,84070,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,Four-wheel Drive,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,1FM5K8D82JGC77140,R5631,81375
2018,Ford,Explorer XLT,Used,30489,4.8,265,Dealer,3,2,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Ruby Red Metallic Tinted Clearcoat,Front-wheel Drive,17,24,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K7DH7JGC86801,PJGC86801,28357
2018,Ford,Explorer XLT,Used,32489,4.8,265,Dealer,3,2,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Shadow Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D81JGC67795,PJGC67795,33188
2021,Acura,RDX A-Spec,Used,37000,4.8,42,Dealer,4.2,65,84116,NA,4.9,4.9,4.7,4.6,4.9,4.8,Majestic Black Pearl,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H60ML034891,ML034891,5188
2021,Acura,RDX A-Spec,Used,38000,4.8,42,Dealer,4.2,65,84116,NA,4.9,4.9,4.7,4.6,4.9,4.8,Apex Blue Pearl,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H65ML044042,ML044042,12878
2018,Ford,Explorer XLT,Used,31672,4.8,265,Dealer,4.9,255,84041,Good,4.9,4.8,4.8,4.7,4.9,4.8,Magnetic,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D84JGB62068,180116740,47661
2021,Subaru,Forester Sport,Used,29500,4.9,109,Dealer,4.6,96,83713,NA,4.9,4.9,4.9,4.8,4.8,4.9,Ice Silver Metallic,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKALC4MH401994,53809,10859
2018,Subaru,Crosstrek 2.0i Premium,Used,31995,4.8,343,Dealer,4,43,99216,Fair,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH323841,15919,30849
2018,Subaru,Crosstrek 2.0i Premium,Used,24561,4.8,343,Dealer,4.6,176,99206,Good,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC4JH245601,JH245601,86759
2018,Subaru,Crosstrek 2.0i Premium,Used,24921,4.8,343,Dealer,1,1,83854,Good,4.8,4.8,4.6,4.8,4.9,4.9,Crystal White Pearl,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH280909,R280909,61053
2016,BMW,435 Gran Coupe i xDrive,Used,30995,4.8,16,Dealer,5,7,98005,Good,4.6,4.9,4.9,4.4,5,5,White,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C58GG344713,61777494,65219
2016,BMW,435 Gran Coupe i xDrive,Used,30995,4.8,16,Dealer,5,7,98005,Fair,4.6,4.9,4.9,4.4,5,5,Gray,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C57GG527875,61708777,63055
2019,Honda,Odyssey EX-L,Used,38347,4.6,133,Dealer,5,59,76180,Good,4.8,4.6,4.5,4.3,4.7,4.5,Modern Steel Metallic,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79KB016821,B01681,64571
2016,Honda,Odyssey EX-L,Used,28999,4.7,100,Private,4.7,1563,75056,Great,4.8,4.6,4.7,4.6,4.7,4.8,Gray,Front-wheel Drive,19,28,Gasoline Fuel,6-Speed A/T,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5FNRL5H66GB090450,???,56000
2020,Mercedes-Benz,GLC 300 Base,Used,43451,4.8,35,Dealer,4.7,205,75034,Good,4.9,4.9,4.7,4.7,4.9,4.7,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8DB5LF861075,P03785A,34768
2019,Audi,Q5 2.0T Premium,Used,37300,4.7,42,Dealer,4.8,2054,75209,Good,4.8,4.6,4.7,4.5,4.7,4.7,Florett Silver Metallic,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY5K2100119,K2100119P,26012
2014,BMW,428 i,Used,27741,4.8,61,Dealer,4.3,6,75088,Fair,4.7,4.7,4.9,4.5,4.9,4.7,Glacier Silver Metallic,Rear-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA3V7C51EP770606,STK770606,48531
2019,Volvo,XC60 T5 Momentum,Used,40782,4.9,82,Dealer,4.9,1911,68118,Good,5,4.9,4.9,4.8,4.9,4.9,Denim Blue,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK0KB289195,3674G,10969
2019,Honda,Odyssey EX-L,Used,38900,4.6,133,Dealer,4.8,721,66062,Good,4.8,4.6,4.5,4.3,4.7,4.5,Crystal Black Pearl,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71KB114385,H002570A,32201
2019,Lincoln,MKZ Standard,Used,30691,4.9,32,Dealer,4.7,112,77043,Fair,5,4.9,4.9,4.9,4.9,5,Magnetic Gray Metallic,Front-wheel Drive,20,31,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5A98KR601862,CP26011,34686
2020,Subaru,Ascent Touring 7-Passenger,Used,31754,4.8,83,Dealer,4.7,192,55429,Great,4.8,4.8,4.8,4.7,4.9,4.8,Crystal White Pearl,All-wheel Drive,20,26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMARD3L3445339,C206657S,47226
2017,Land,Rover Range Rover Evoque SE Premium,Used,34555,4.3,42,Private,4.7,192,54016,Great,4.4,4.6,4.2,4,4.7,4,Gray,Four-wheel Drive,21,29,Gasoline Fuel,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,SALVP2BG1HH214962,???,39855
2022,Acura,MDX A-Spec,Acura Certified,58995,4.9,16,Dealer,4.6,383,63128,Fair,4.9,4.8,4.9,4.9,4.9,4.9,Performance Red Pearl,All-wheel Drive,19,25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YE1H06NL004768,PA2258,12531
2022,Honda,Pilot EX-L,Used,41535,5,1,Dealer,4.4,159,70471,Great,5,5,5,5,5,5,Silver Metallic,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H53NB008763,NB008763,15118
2019,Chevrolet,Impala Premier 2LZ,Used,26998,4.7,61,Dealer,4.7,923,53115,Fair,4.8,4.8,4.8,4.7,4.7,4.8,Black,Front-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,2G1105S31K9161628,02P596A,49372
2013,INFINITI,G37 x,Used,17300,4.7,131,Private,4.7,923,60056,NA,4.6,4.5,4.8,4.7,4.7,4.8,Gray,All-wheel Drive,18,25,Gasoline Fuel,7-Speed A/T,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,JN1CV6AR5DM756312,???,66560
2017,Honda,Civic EX,Used,22004,4.8,743,Dealer,4.2,380,60642,Good,4.7,4.7,4.8,4.8,4.8,4.8,Modern Steel Metallic,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H54HU218886,K1812,35257
